Tipo de residuo;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2021;16.854.362
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2020;16.452.778
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2019;17.034.229
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2018;17.611.068
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2017;17.457.709
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2016;17.141.367
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2015;17.106.176
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2014;16.886.941
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2013;17.320.704
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2012;17.911.466
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2011;18.291.848
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;;2010;18.808.667
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2021;3.921.264
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2020;3.792.794
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2019;3.571.331
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2018;3.755.593
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2017;3.493.910
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2016;3.545.590
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2015;3.479.079
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2014;3.437.380
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2013;3.825.590
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2012;4.134.974
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2011;3.796.057
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;01 Andalucía;2010;4.213.174
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2021;454.672
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2020;450.797
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2019;464.876
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2018;475.448
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2017;470.023
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2016;454.709
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2015;449.639
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2014;444.074
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;02 Aragón;2013;440.763
