freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT	53020950 	54286603 	56308766 	46799579 	48045089 	55868298 	61225037 	65666128 	68906034 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA	: 	: 	: 	: 	4456556 	5540772 	6127022 	6747605 	6753458 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE	52809345 	59351721 e	48621916 	61345803 	53839470 	57965392 	63152384 	68187479 	68061590 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG	201020467 	162881368 	167646316 	167396268 	161252166 	179677011 	120508475 	129751823 	116387350 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY	2241520 	1248723 	1842781 	2372750 	1875308 	1978699 	2467042 	2302144 	2221809 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ	29275743 	24745752 	25419695 	23757566 	23171358 	23394956 	25381426 	37847614 b	38486186 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE	364021937 	363786069 	372796355 	363544995 	368022172 	387504241 	400071672 	405523624 	401156266 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK	12588952 	14703138 	15155208 	16217736 	16713822 	20808843 	20981931 	21445206 	20135564 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,EE	20860680 	18932903 	19583855 	19000195 	21992343 	21804040 	24277879 	23185581 	16170358 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,EL	33346962 	51324662 	68643963 	70432705 	72328280 	69758868 	72332353 	45240333 	28358897 p
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,ES	160668134 	160946629 	149254157 	137518902 	118561669 	110518494 	128958523 	137822935 	105624359 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,EU27_2020	2248790000 	2276120000 	2144780000 	2212900000 	2242540000 	2243790000 	2258910000 	2338230000 	2153950000 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,EU28	2547590000 	2567270000 	2427000000 	2454710000 	2483800000 	2506780000 	2530980000 	2620400000 	: 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,FI	69708476 	72205476 	81792854 	104336944 	91824193 	95969888 	122869183 	128251735 	116082531 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,FR	296580889 s	312297824 s	345002210 	355081245 	344440922 	324462969 	322685297 	343307326 	310373987 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,HR	7208688 	5425973 	4172152 	3157672 	3611678 	3724563 	5366953 	5543310 	6003760 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,HU	24660920 e	22287476 e	16949197 e	16735423 	16310151 	16650639 	15938077 	18369585 	17150400 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,IE	24499142 	29599175 e	22502816 	19807586 	12713021 	15166830 	15251689 	13986757 	16192033 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,IS	501426 	: 	772584 	510941 	529351 	815148 	1067319 	1293511 	1060903 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,IT	139806106 	155025054 	179257461 	158627618 	154427046 	157870348 	163827838 	172502773 	174887620 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,LI	: 	: 	383337 	312180 	466547 	569067 	502581 	437823 	542691 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,LT	7010178 	6361109 	6333352 	5578134 	5678751 	6200450 	6674238 	7080538 	6695731 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,LU	8315766 	8378911 	9592144 	10441469 	8397228 	7072758 	10020519 	9014397 	9215222 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,LV	1257225 	1858551 	1495084 	1498200 	2309581 	2621495 	1909631 	1773726 	2852792 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,ME	: 	: 	: 	: 	1014139 	1092741 	1132587 	1222758 	1246833 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,MK	: 	: 	1362466 	2327590 	8472343 	2186612 	1424859 	1140253 	1484596 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,MT	3146062 e	2861489 e	2070391 e	1352994 	1456213 	1672810 	1951928 	2507070 	3528663 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,NL	92448121 	99166563 	102648605 	121145468 	121194466 	132362297 	141024020 	145245469 	125138771 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,NO	7453565 	9913286 	10286643 	9432997 	10721599 	10614914 	11131594 	14137718 	14040663 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,PL	137478449 	153628937 	138984638 	158661957 	162382959 	179179899 	182005677 	175473691 	170233670 
A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,PT	29317295 e	34952771 e	16882923 	13640079 	13359517 	14368003 	14739135 	15894873 b	16601514 
