Fecha;EUA;CER;SPREAD (EUA - CER)
03-01-2022;83.52;0.00;"83,52"
04-01-2022;84.46;0.00;"84,46"
05-01-2022;87.15;0.00;"87,15"
06-01-2022;86.33;0.00;"86,33"
07-01-2022;85.00;0.00;85
10-01-2022;80.31;0.00;"80,31"
11-01-2022;81.20;0.00;"81,2"
12-01-2022;80.13;0.00;"80,13"
13-01-2022;80.20;0.00;"80,2"
14-01-2022;82.03;0.00;"82,03"
17-01-2022;80.23;0.00;"80,23"
18-01-2022;82.31;0.00;"82,31"
19-01-2022;81.74;0.00;"81,74"
20-01-2022;85.24;0.00;"85,24"
21-01-2022;84.11;0.00;"84,11"
24-01-2022;83.66;0.00;"83,66"
25-01-2022;87.02;0.00;"87,02"
26-01-2022;88.29;0.00;"88,29"
27-01-2022;89.31;0.00;"89,31"
28-01-2022;88.82;0.00;"88,82"
31-01-2022;88.80;0.00;"88,8"
01-02-2022;89.10;0.00;"89,1"
02-02-2022;93.63;0.00;"93,63"
03-02-2022;94.29;0.00;"94,29"
04-02-2022;95.98;0.00;"95,98"
07-02-2022;96.18;0.00;"96,18"
08-02-2022;96.38;0.00;"96,38"
09-02-2022;91.18;0.00;"91,18"
10-02-2022;90.38;0.00;"90,38"
11-02-2022;92.43;0.00;"92,43"
14-02-2022;91.27;0.00;"91,27"
15-02-2022;90.32;0.00;"90,32"
16-02-2022;89.31;0.00;"89,31"
17-02-2022;85.94;0.00;"85,94"
18-02-2022;88.91;0.00;"88,91"
21-02-2022;89.24;0.00;"89,24"
22-02-2022;89.71;0.00;"89,71"
23-02-2022;94.67;0.00;"94,67"
24-02-2022;87.39;0.00;"87,39"
25-02-2022;87.71;0.00;"87,71"
28-02-2022;81.81;0.00;"81,81"
01-03-2022;71.48;0.00;"71,48"
02-03-2022;68.24;0.00;"68,24"
03-03-2022;67.39;0.00;"67,39"
04-03-2022;65.48;0.00;"65,48"
07-03-2022;58.65;0.00;"58,65"
08-03-2022;68.18;0.00;"68,18"
09-03-2022;72.89;0.00;"72,89"
10-03-2022;76.00;0.00;76
11-03-2022;76.38;0.00;"76,38"
14-03-2022;77.69;0.00;"77,69"
15-03-2022;77.04;0.00;"77,04"
16-03-2022;77.76;0.00;"77,76"
17-03-2022;79.52;0.00;"79,52"
18-03-2022;78.52;0.00;"78,52"
21-03-2022;79.23;0.00;"79,23"
22-03-2022;81.24;0.00;"81,24"
23-03-2022;78.27;0.00;"78,27"
24-03-2022;78.50;0.00;"78,5"
25-03-2022;78.31;0.00;"78,31"
28-03-2022;80.54;0.00;"80,54"
29-03-2022;80.77;0.00;"80,77"
30-03-2022;78.68;0.00;"78,68"
31-03-2022;77.28;0.00;"77,28"
01-04-2022;78.30;0.00;"78,3"
04-04-2022;78.29;0.00;"78,29"
05-04-2022;78.45;0.00;"78,45"
06-04-2022;78.03;0.00;"78,03"
07-04-2022;79.98;0.00;"79,98"
08-04-2022;80.15;0.00;"80,15"
11-04-2022;79.85;0.00;"79,85"
12-04-2022;78.80;0.00;"78,8"
13-04-2022;78.15;0.00;"78,15"
14-04-2022;79.78;0.00;"79,78"
