"Año";"Periodo";"Precio"
"1998";"Año";"25,05"
"1999";"Año";"25,96"
"2000";"Año";"30,61"
"2001";"Año";"30,05"
"2002";"Año";"37,39"
"2004";"Año";"27,93"
"2005";"Año";"53,63"
"2006";"Año";"50,66"
"2007";"Año";"39,31"
"2008";"Año";"62,87"
"2009";"Año";"36,97"
"2010";"Año";"36,92"
"2011";"Año";"49,93"
"2012";"Año";"47,26"
"2013";"Año";"44,19"
"2014";"Año";"41,97"
"2015";"Año";"50,27"
"2016";"Año";"39,61"
"2017";"Año";"52,22"
"2018";"Año";"57,29"
"2019";"Año";"47,71"
"2020";"Año";"33,96"
"2021";"Año";"111,39"
"2022";"Año";"209,69"
"2023";"Año";"87,43"
;;
;;
"Métrica":"Precio"
"Fuente":"OMIE"
"Clasificación":""
"Unidad":"€"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/promedio-anual-precio-mwh-mercado-mayorista-espanol/518bb51d-191a-4694-9ee8-8c00c24d0c73"
"Titulo":"Promedio anual del precio del MWh en el mercado mayorista español"
"Subtitulo":""
